ASAP ; Workgroup Size: 2000 ; Device: pthread; 957
ASAP ; Workgroup Size: 2000 ; Device: pthread; 890
ASAP ; Workgroup Size: 2000 ; Device: pthread; 905
ASAP ; Workgroup Size: 2000 ; Device: pthread; 934
ASAP ; Workgroup Size: 2000 ; Device: pthread; 896
ASAP ; Workgroup Size: 2000 ; Device: pthread; 904
ASAP ; Workgroup Size: 2000 ; Device: pthread; 889
ASAP ; Workgroup Size: 2000 ; Device: pthread; 889
ASAP ; Workgroup Size: 2000 ; Device: pthread; 882
ASAP ; Workgroup Size: 2000 ; Device: pthread; 901
