R. F. S. ; Workgroup Size: 2000 ; Device: pthread; 0
R. F. S. ; Workgroup Size: 2000 ; Device: pthread; 1947
R. F. S. ; Workgroup Size: 2000 ; Device: pthread; 1800
R. F. S. ; Workgroup Size: 2000 ; Device: pthread; 1836
R. F. S. ; Workgroup Size: 2000 ; Device: pthread; 1817
R. F. S. ; Workgroup Size: 2000 ; Device: pthread; 1803
R. F. S. ; Workgroup Size: 2000 ; Device: pthread; 1813
R. F. S. ; Workgroup Size: 2000 ; Device: pthread; 1828
R. F. S. ; Workgroup Size: 2000 ; Device: pthread; 1890
R. F. S. ; Workgroup Size: 2000 ; Device: pthread; 1882
R. F. S. ; Workgroup Size: 2000 ; Device: pthread; 1821
