R. F. S. ; Workgroup Size: 2000 ; Device: pthread; 1927
R. F. S. ; Workgroup Size: 2000 ; Device: pthread; 1843
R. F. S. ; Workgroup Size: 2000 ; Device: pthread; 1804
R. F. S. ; Workgroup Size: 2000 ; Device: pthread; 1836
R. F. S. ; Workgroup Size: 2000 ; Device: pthread; 1823
R. F. S. ; Workgroup Size: 2000 ; Device: pthread; 1813
R. F. S. ; Workgroup Size: 2000 ; Device: pthread; 1811
R. F. S. ; Workgroup Size: 2000 ; Device: pthread; 1813
R. F. S. ; Workgroup Size: 2000 ; Device: pthread; 1841
R. F. S. ; Workgroup Size: 2000 ; Device: pthread; 1806
